College Code,College name,Branch Code,Branch Name,Community,Cutoff marks
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO-TECHNOLOGY,SCA,150.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO-TECHNOLOGY,ST,104
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,OC,189
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,BC,187.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,BCM,181.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,MBC,182
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,SC,170.25
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,SCA,161.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,ST,132.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,OC,179.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,BC,176
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,BCM,170.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,MBC,168
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,SC,148
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,SCA,127.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,ST,143
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,OC,169.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,BC,162
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,BCM,162
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,MBC,163.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,SC,139.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,SCA,114.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,ST,104
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),OC,180
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),BC,175.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),BCM,167.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),MBC,169.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),SC,141
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),SCA,91.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),ST,0
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),OC,190
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,BIO TECHNOLOGY (SS),BC,189
