College Code,College Name,Branch Code,Branch Name,Community,Cutoff marks
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,SC,144.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,SCA,131
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,ST,104.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,OC,195.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,BC,194
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,BCM,195
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,MBC,193.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,SC,185
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,SCA,181.79
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,ST,162.78
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,OC,185
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,BC,180
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,BCM,174
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,MBC,175.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,SC,154
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,SCA,142
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,MECHANICAL ENGINEERING,ST,168.735
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,OC,179
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,BC,171.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,BCM,164.685
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,MBC,169.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,SC,141.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,SCA,120.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,PRODUCTION ENGINEERING,ST,0
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),OC,183.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),BC,178.325
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),BCM,171.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),MBC,171.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),SC,145.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),SCA,131.5
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,AUTOMOBILE ENGINEERING (SS),ST,0
