College Code,College name,Branch Code,Branch Name,Community,Cutoff marks
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,OC,178.545
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,BC,171
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,BCM,164
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,MBC,164
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,SC,158
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,SCA,142
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CE,CIVIL ENGINEERING,ST,133
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,OC,196.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,BC,195.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,BCM,194
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,MBC,195
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,SC,184
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,SCA,186
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,CS,COMPUTER SCIENCE AND ENGINEERING,ST,168.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,195.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BC,194
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BCM,191.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,MBC,192.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,179.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SCA,174
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,0
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,192.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC,190.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCM,187.705
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,MBC,187
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,176.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SCA,184.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,154.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,OC,189.4545455
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,BC,187
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,BCM,188
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,MBC,186
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,SC,170
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,SCA,163.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ST,149.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,OC,179
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,BC,170
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,BCM,169.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,MBC,163.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,SC,145.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,SCA,136.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IB,INDUSTRIAL BIO TECHNOLOGY,ST,0
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,OC,195.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,BC,194
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,BCM,192
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,MBC,193
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,SC,183
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,SCA,176.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,IT,INFORMATION TECHNOLOGY,ST,0
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,OC,182
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,BC,173.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,BCM,177
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,MBC,173
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,SC,155.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,SCA,151
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,ME,MECHANICAL ENGINEERING,ST,141.47
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,OC,177.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,BC,173.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,BCM,168
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,MBC,164.5
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,SC,157
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,SCA,152
2005,Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013,PR,PRODUCTION ENGINEERING,ST,136.5
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),OC,179.5
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),BC,173
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),BCM,170
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),MBC,167
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),SC,155
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),SCA,164.5
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,AS,AUTOMOBILE ENGINEERING (SS),ST,0
2006,PSG College of Technology (Autonomous) Peelamedu Coimbatore District 641004,BS,BIO TECHNOLOGY (SS),OC,190.5
