College Code,College name,Branch Code,Branch Name,Community,Cutoff marks
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,OC,186.465
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,BC,184.065
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,BCM,181.69
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,MBC,184.87
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,SC,179.35
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,SCA,177.58
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,CIVIL ENGINEERING,ST,175.68
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,OC,194.615
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,BC,193.78
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,BCM,191.56
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,MBC,193.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,SC,188.23
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,SCA,188.64
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,COMPUTER SCIENCE AND ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,193.35
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BC,192.845
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,BCM,190.78
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,MBC,192.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SC,186
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,SCA,186.01
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,192.25
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC,191.5
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCM,189.935
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,MBC,191
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SC,185.67
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,SCA,182.095
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,ST,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,OC,191
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,BC,190
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,BCM,188.78
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,MBC,191
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,SC,182.07
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,SCA,0
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ST,177.57
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,OC,189.385
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,BC,187.42
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,BCM,183.73
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,MBC,189.305
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,SC,176.87
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,SCA,170.46
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,INDUSTRIAL BIO TECHNOLOGY,ST,165.935
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,OC,193.21
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,BC,192.735
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,INFORMATION TECHNOLOGY,BCM,191.58
